id,question,answer,parent_id,tags,priority,purpose,chunk_type
35,"受付開始時間はいつですか？","朝5時からの受付開始となります。羽田出発深夜便をご利用の場合は21時30分までにご来場ください。\n予約いただいた来場時間までにお越しください。来場時間は出発便の1時間前までです。\n営業時間内なら、予定の来場時間より早く到着されても構いません。\n\n【注意事項】※営業時間外の入出庫はできませんのでご注意ください。\n\n【繁忙期の対応】\n繁忙期には現場判断により、営業開始時間前の受け入れが行われる場合があります。空港までは10分程度です。","11","usage_process,受付時間,深夜対応,繁忙期対応","最重要","利用開始時間の明確化","child"
36,"車と鍵の預け入れ時の注意点は何ですか？","以下の点にご注意ください：\n\n・スマートキーに付いているメカニカルキーは外さないでください。\n・車の鍵に付いているキーホルダーや家の鍵などは事前に外してください（紛失・破損の責任は負いかねます）。\n・お預かり後、羽田空港まで無料送迎いたします。","11","usage_process,鍵預け入れ,注意事項,送迎サービス","最重要","預け入れ手順の明確化","child"
37,"帰着時の連絡方法を教えてください","以下の手順でご連絡ください：\n\n・空港到着後、荷物の受け取りが完了しましたら、当駐車場（03-3799-1113）までご連絡ください。\n・ご連絡確認後、国内線ターミナルまでお迎えいたします。\n\n※ピーク時間や繁忙期は送迎にお時間がかかる場合があります。\n※送迎車に乗車するまで、携帯電話の電源は切らないでください。","11","usage_process,連絡方法,帰着時,国際線制限,送迎サービス","最重要","帰着時の手順明確化","child"
38,"支払い方法と車の受け取り手順を教えてください","ご利用最終日のお帰りの際に以下の手順で精算とお車の受け渡しを行います：\n\n・お支払いは現金のみとなります（カード・コード決済不可）。\n・お支払い後、車の鍵をお渡しいたします。","11","usage_process,支払い方法,現金精算,受け取り手順","最重要","精算手順の明確化","child"
39,"送迎サービスについて教えてください","以下の内容で送迎サービスを提供しています：\n\n・駐車場から羽田空港まで無料送迎。\n・空港から駐車場まで無料送迎。\n\n※ピーク時間や繁忙期は送迎にお時間がかかる場合があります。\n※送迎時の荷物制限については、別途ご確認ください。","11","usage_process,送迎サービス,無料送迎,国際線制限,繁忙期対応","高","送迎サービスの明確化","child"
40,"駐車場での受付手順を教えてください","ご予約いただいた日時の来場時間までに駐車場へお越しください。\n駐車場のスタッフが対応いたします。\n\n【注意事項】\n・車の鍵をスタッフにお預けください。\n・荷物や貴重品は車内に残さないようご注意ください。","11","usage_process,受付手順,現場案内,スタッフ対応","高","受付時のスムーズな対応","child"
41,"駐車場に到着してからの流れは？","ご予約いただいた日時の来場時間までに駐車場へお越しください。現場のスタッフが案内し、車の鍵をお預かりします。その後、無料送迎車にご乗車いただき、空港までお送りいたします。\n\n【注意事項】\n・鍵のお預け時に車内の貴重品を再確認してください。\n・送迎には10分ほどかかりますので、余裕を持ってお越しください。","11","usage_process,到着,流れ,駐車場,手順","最重要","駐車場到着後の流れの明確化","child"
42,"送迎は何時から何時まで利用できますか？","送迎サービスの営業時間は朝5時から深夜24時までです。以下の条件にご注意ください：\n\n出発便の対応\n- 羽田空港から出発する便の場合、深夜便（21時30分以降出発）をご利用の際は、21時30分までに駐車場へお越しください。\n- 予約いただいた来場時間に間に合うよう、余裕を持ってお越しください。\n\n到着便の対応\n- 羽田空港に到着する便の場合、24時以降の到着には追加料金が発生します。\n- 到着時には空港で荷物を受け取った後、駐車場までご連絡ください。","11","usage_process,送迎サービス,営業時間,深夜便,国際線制限,到着便,繁忙期対応","最重要","送迎サービスの利用可能時間の明確化","child"
43,"最寄り駅からの移動手段を教えてください","最寄り駅から駐車場までの移動手段については特に案内しておりません。当駐車場は車での来場を前提としております。\n\n【例外対応】\n飛行機の欠航などにより新幹線等でお戻りになる場合、羽田空港国内線ターミナルまでお迎えします。","11","usage_process,最寄り駅,移動手段,例外対応","重要","移動手段に関する問い合わせ対応","child"
44,"営業時間を教えてください","営業時間は以下の通りです：\n\n【通常期】\n・朝5時から深夜24時まで\n\n【繁忙期】\n・状況により変更の可能性あり\n\n※深夜24時以降の到着は追加料金が発生します。\n※営業時間外の入出庫はできません。","12","operation_rules,営業時間,深夜対応,繁忙期対応","最重要","営業時間の明確化","child"
45,"送迎時の注意事項を教えてください","送迎サービスについて、以下の点にご注意ください：\n\n・来場順での送迎となります\n・他のお客様との乗合です\n・状況により待ち時間が発生します\n・国際線への送迎は行っておりません\n\n※スムーズな送迎のため、ご協力をお願いいたします。","12","operation_rules,送迎サービス,注意事項,国際線不可","高","送迎基準の明確化","child"
46,"駐車場内での注意事項は？","以下の点にご注意ください：\n\n・場内は徐行運転\n・他のお客様の車両に注意\n・貴重品は必ずお持ちください\n・ゴミの持ち帰り\n・喫煙所以外での喫煙禁止\n\n※マナーを守ってご利用ください。","12","operation_rules,場内ルール,注意事項,禁止事項","高","場内ルールの明確化","child"
47,"キャンセルポリシーを教えてください","キャンセルは以下の規定に従います：\n\n・利用開始日の前日まで：無料\n・利用開始日当日：全額請求\n\n※キャンセルの際は必ずご連絡ください。\n※無断キャンセルは今後のご利用をお断りする場合があります。","12","operation_rules,キャンセル,規定,料金","最重要","キャンセルポリシーの明確化","child"
48,"荷物の管理はどうなっていますか？","以下の点にご注意ください：\n\n・貴重品は必ずお持ちください\n・車内に荷物を置いたままの場合、紛失・盗難の責任は負いかねます\n・忘れ物は1ヶ月間保管\n・腐敗する可能性のある物は即日廃棄\n\n※車内の荷物は最小限にしてください。","12","operation_rules,荷物管理,注意事項,責任範囲","高","荷物管理の明確化","child"
49,"スキー板やサーフボードは持ち込めますか？","申し訳ございませんが、以下の長尺物は送迎車への積載ができません：\n\n・ボード類\n・スキー板\n・釣竿\nなどの長尺物\n\n※お荷物の配送サービスのご利用をご検討ください。\n※どうしても長尺物を運びたい場合は、運転手1名のみを送迎する「ひとり送迎プラン」をご検討ください。","13","baggage_rules,送迎サービス,荷物制限,長尺物","最重要","手荷物制限の明確化","child"
50,"ペットと一緒に利用できますか？","申し訳ございませんが、ペットを含む全ての動物の送迎車への同乗はできません。\n\n※ペットの移動には、専門の運送サービスやペット可能な交通手段をご利用ください。\n※どうしてもペットを同行させる必要がある場合は、運転手1名のみを送迎する「ひとり送迎プラン」をご検討ください。","13","baggage_rules,送迎サービス,荷物制限,動物","最重要","ペット同伴基準の明確化","child"
51,"大きな荷物がある場合どうすればいいですか？","大きな荷物や大量の荷物がある場合は、事前にご相談ください。\n\n以下の点を確認させていただきます：\n・荷物のサイズと数量\n・送迎車への収納可否\n・代替手段のご案内\n\n※どうしても収納が難しい場合は、運転手1名のみを送迎する「ひとり送迎プラン」をご検討ください。","13","baggage_rules,送迎サービス,荷物制限,事前確認","高","大型荷物対応の明確化","child"
52,"送迎人数のルールを教えてください","1台のご予約につき、同乗者様（幼児を含む）5名様までご利用いただけます。\n\n注意事項：\n・送迎車両は10名乗りですが、トラブル防止のため1台あたり5名様までの制限を設けております。\n・6名以上の場合は「ひとり送迎プラン」をご利用ください。","14","capacity_rules,送迎サービス,人数制限,予約制限","最重要","人数制限ルールの明確化","child"
53,"6名以上での利用方法について教えてください","「ひとり送迎プラン」でご利用いただけます。\n\nご利用方法：\n1. 空港で荷物と同乗者様を降ろしていただきます\n2. 駐車場へ来場\n3. 運転手様1名のみを空港まで送迎\n\n※複数台でのご利用の場合も、各車両の運転手様1名ずつの送迎となります。\n※お帰りの際は逆の手順となります。","14","capacity_rules,送迎サービス,ひとり送迎","最重要","大人数対応の明確化","child"
54,"お子様の同乗は可能ですか？","お子様が同乗される場合でも、送迎には問題ございません。1台のご予約につき、同乗者様（お子様含む）5名様までとなります。","14","capacity_rules,送迎サービス,お子様同乗","最重要","お子様同乗基準の明確化","child"
55,"予約内容をひとり送迎に変更できますか？","予約内容の変更についてですが、運転手様のみの「ひとり送迎」に変更することは可能です。\n\nご利用方法：\n1. 空港で荷物と同乗者様を降ろしていただきます\n2. 駐車場へ来場\n3. 運転手様1名のみを空港まで送迎いたします\n\n※お帰りの際は逆の手順となります。","14","capacity_rules,予約変更,ひとり送迎","最重要","ひとり送迎変更手順の明確化","child"
56,"[0-9]+台で[0-9]+名","複数台や大人数でのご利用の場合は「ひとり送迎プラン」のご利用をお願いしております。\n\n送迎の流れ：\n1. 空港で荷物と同乗者を降ろし\n2. 駐車場に移動\n3. 運転手1名のみを空港まで送迎\n\n※送迎車は乗合となります。","14","capacity_rules,送迎サービス,ひとり送迎,大人数対応","最重要","複数台利用の明確化","child"
57,"(?:車椅子|wheelchair).*(?:一人|1人|単独)","車椅子で単独でご利用の場合は、自力で送迎車への乗り降りが可能な方のみとなります。\n\n注意事項：\n・折りたたみ式車椅子のみ対応可能\n・スロープ等の設備はございません\n・ご不安な場合は介助者の同伴をお勧めします。","14","capacity_rules,送迎サービス,車椅子対応,条件付き対応","高","車椅子利用時の基準明確化","child"
58,"国内送迎プランの条件を教えてください","以下の条件でご利用いただけます：\n\n【サイズ】\n・高さ1.95m以内、幅1.85m以内、長さ5.05m以内の車両（車検証要確認。キャリアやルーフボックスも高さに含まれます）\n\n【利用人数】\n・5名様まで\n\n【料金】\n・基本料金: 1,000円","15","transportation_plans_knowledge,送迎プラン,国内送迎プラン,条件","高","国内送迎プランの利用条件明確化","child"
59,"軽自動車送迎プランの詳細を教えてください","軽自動車を対象とした送迎プランです。\n\n【サイズ】\n・高さ1.95m以内（キャリアやルーフボックスも高さに含まれます）\n\n【料金】\n・基本料金: 1,000円から1日につき100円引き","15","transportation_plans_knowledge,送迎プラン,軽自動車,割引","高","軽自動車送迎プランの詳細明確化","child"
60,"コンパクトカー割引送迎プランの詳細を教えてください","コンパクトカーを対象とした割引送迎プランです。\n\n【利用人数】\n・2名様まで\n\n【料金】\n・基本料金: 1,000円から1日につき100円引き\n\n【対象車種例】\n・トヨタ: ヴィッツ、スペード、アクア\n・ニッサン: マーチ、ノート（※ノートオーラは不可）\n・ホンダ: フリード、フィット（※フィットシャトルは不可）","15","transportation_plans_knowledge,送迎プラン,コンパクトカー,割引","高","コンパクトカー送迎プランの詳細明確化","child"
61,"大型車プランの条件を教えてください","高さ1.95m以上2.1m以下の車両を対象としたプランです。\n\n【サイズ】\n・高さ1.95m以上2.1m以下、幅1.85m以上、長さ5.05m以上の車両\n\n【利用人数】\n・5名様まで\n\n【料金】\n・基本料金に1日につき1,000円追加","15","transportation_plans_knowledge,送迎プラン,大型車,追加料金","高","大型車プランの条件明確化","child"
62,"長期預り割引プランは利用できますか？","以下の条件でご利用いただけます：\n\n【対象】\n・6泊7日以上ご利用のお客様\n\n【料金】\n・1日/1,000円（期間中の料金が一律。週末等のアップ料金が一切ありません）\n\n【注意事項】\n・繁忙期は適用外です\n・他の割引との併用はできません","15","transportation_plans_knowledge,長期割引,繁忙期適用外,割引プラン","高","長期預り割引プランの条件明確化","child"
63,"繁忙期に大型車プランを利用できますか？","繁忙期には大型車プランの受け入れを行っておりません。\n\n【注意事項】\n・システム上、繁忙期でもご予約が受付される場合がありますが、繁忙期中の大型車予約はすべてキャンセル扱いとなります。\n・ご不明な点がございましたら、事前にお問い合わせください。","15","transportation_plans_knowledge,繁忙期対応,大型車制限,受入不可,システム制限","最重要","繁忙期の大型車制限の明確化","child"
64,"繁忙期に長期預り割引プランは利用できますか？","繁忙期には長期預り割引プランの適用はございません。\n\n【注意事項】\n・システム上、繁忙期でも割引プランでのご予約が受付される場合がありますが、繁忙期中のご予約には割引が適用されませんのでご了承ください。\n・ご不明な点がございましたら、事前にお問い合わせください。","15","transportation_plans_knowledge,繁忙期対応,割引プラン,適用外,システム制限","最重要","繁忙期における割引制限の明確化","child"
65,"送迎サービスのプランを教えてください","以下の送迎サービスプランをご利用いただけます：\n\n1. 国内送迎プラン\n2. 軽自動車送迎プラン\n3. コンパクトカー割引送迎プラン\n4. 大型車プラン\n5. 長期預り割引プラン（送迎あり）\n\n各プランの詳細は、条件や料金をご確認ください。","15","transportation_plans_knowledge,送迎サービス,送迎プラン,全体説明","高","送迎プラン全体の概要明確化","child"
66,"送迎が不要な場合の利用プランは？","送迎が不要な場合は、予約フォームの備考欄に以下のようにご記入ください：\n\n例: 「送迎なし：理由　〇〇のため」\n\n※ご記入いただいた理由をもとに対応の可否を判断させていただきます。","15","transportation_plans_knowledge,送迎なし,駐車サービス,利用プラン","高","送迎なしの場合の案内明確化","child"
67,"[0-9]+台で[0-9]+名","複数台や大人数でのご利用の場合は「ひとり送迎プラン」のご利用をお願いしております。\n\n送迎の流れ：\n1. 各車両で運転手様1名が空港で荷物と同乗者を降ろしていただきます\n2. 当駐車場へ各車両で来場\n3. 各車両の運転手様1名のみを空港まで送迎します\n\n※お帰りの際は逆の手順となります\n※送迎車は乗合となります","16","group_usage,送迎サービス,ひとり送迎,団体利用,大人数対応","最重要","団体利用時のルール明確化","child"
68,"団体利用時のルール","団体（複数台または大人数）でご利用の場合、以下のルールが適用されます：\n\n送迎の流れ：\n1. 各車両で運転手様1名が空港で荷物と同乗者を降ろしていただきます\n2. 当駐車場へ各車両で来場\n3. 各車両の運転手様1名のみを空港まで送迎します\n\n※お帰りの際は逆の手順となります\n※送迎車は乗合となります","16","group_usage,送迎サービス,団体利用,大人数対応","最重要","団体利用の手順明確化","child"
69,"社員旅行","ご予約時に「領収書希望」とお申し付けください。\n\n注意事項：\n・領収書は後日発行できかねます\n・必ず予約時にお申し出ください\n・宛名等の詳細もお知らせください","16","group_usage,領収書対応,ビジネス利用","高","領収書対応の明確化","child"
70,"団体での領収書発行","[領収書発行の注意点]\n・ご予約時に「領収書希望」とお申し出ください\n・宛名や但し書きなどの詳細をお知らせください\n・後日発行はできかねます\n・車両ごとの分割発行も可能です","16","group_usage,領収書対応,ビジネス利用,団体利用","高","団体領収書対応の明確化","child"
71,"深夜到着の場合の料金はどうなりますか？","24時以降に飛行機が羽田空港に到着した場合、追加料金が発生いたします：\n\n【追加料金】\n・24時以降：深夜料金2,000円追加\n・24時30分以降：翌朝5時以降の対応となり、1日分の延泊料金が加算されます。\n\n【注意事項】\n・遅延・欠航、便変更が発生した場合は、必ず飛行機搭乗時間前にお電話でご連絡ください。\n・追加料金が発生する条件についての詳細は、Webサイト（https://park-ride.net/）をご確認ください。\n\n※延泊を前提とした予約はお受けしておりません。\n※ピーク期間には別途ピーク料金が発生します。","17","fee_rules,料金ルール,深夜料金,延泊制限,追加料金,遅延連絡,駐車料金","高","深夜料金の明確化","child"
72,"早く帰ってきた場合の料金は変わりますか？","予約した合計金額が請求されます。\n\n【注意事項】\n・早めのご連絡をお願いいたします（車両準備のため）。\n・延泊を前提とした予約はお受けしておりません。\n・やむを得ず延泊が必要な場合は、1日ごとの料金を追加。\n・ピーク期間には追加料金が加算されます。","17","fee_rules,料金ルール,早帰り,延泊制限,追加料金,駐車料金","中","料金変更の明確化","child"
73,"鍵を持って帰ってしまった場合はどうなりますか？","鍵の持ち帰り・預け忘れには5,000円の手数料を申し受けます：\n\n【詳細】\n・理由：場内での車両移動が必要なため\n・金額：一律5,000円\n・対象：利用日数にかかわらず適用\n\n【注意事項】\n・鍵の受け渡し時に、必ずお手元の鍵を再確認ください。\n・鍵の持ち帰り防止のため、スタッフからの確認を徹底しております。\n\n※早めのご返送をお願いいたします。","17","fee_rules,ペナルティ,鍵,手数料,注意喚起,追加料金,駐車料金","高","鍵紛失対応の明確化","child"
74,"駐車料金はどのように計算されますか？","お世話になっております。パーク&ライド羽田でございます。\n\n駐車料金について、ご案内いたします：\n\n【基本料金】\n・1日あたり1,000円\n\n【週末料金】\n・金土日祝日は1日あたり300円追加\n\n【追加料金】\n・深夜到着（24時以降）：2,000円追加\n・延泊：1日分の料金追加\n・繁忙期：別途ピーク料金\n\n【ご注意】\n・Web予約時に合計金額が自動計算されます\n・予約フォームで金額をご確認のうえ、お進みください\n\n※詳細は、Webサイト（https://park-ride.net/）をご確認ください。","17","fee_rules,料金ルール,料金計算,駐車料金,追加料金,週末料金,繁忙期","高","駐車料金計算方法の明確化","child"
75,"追加料金が発生するケースは？","以下のケースで追加料金が発生します：\n\n【追加料金の条件】\n1. 深夜到着（24時以降）: 2,000円追加\n2. 延泊: 1日分の料金追加\n3. 鍵の持ち帰り・預け忘れ: 5,000円の手数料\n4. ピーク期間: 別途ピーク料金\n\n※詳細は、Webサイト（https://park-ride.net/）をご確認ください。","17","fee_rules,料金ルール,追加料金,深夜料金,延泊制限,駐車料金","高","追加料金条件の明確化","child"
76,"繁忙期に大型車プランを利用できますか？","繁忙期には大型車プランの受け入れを行っておりません。\n\n【注意事項】\n・システム上、繁忙期でもご予約が受付される場合がありますが、繁忙期中の大型車予約はすべてキャンセル扱いとなります。\n・ご不明な点がございましたら、事前にお問い合わせください。","18","peak_season,繁忙期対応,大型車制限,受入不可,システム制限","最重要","繁忙期の大型車制限の明確化","child"
